Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
27,2026-09-02 09:15,2026-09-02 10:15,PE,23900,23848.3,23883.3,166.64,147.89,65,-1218.75,-11.25,FIXED SL HIT (-35 Pts),10793.2
28,2026-09-02 12:15,2026-09-07 09:15,CE,23800,23873.85,23838.85,190.18,169.62,65,-1336.4,-10.81,FIXED SL HIT (-35 Pts),9456.8
29,2026-09-07 09:15,2026-09-08 11:15,PE,23900,23806.45,23656.45,190.87,293.06,65,6642.35,53.54,TARGET HIT (+150 Pts),16099.15
30,2026-09-08 11:15,2026-09-09 09:15,PE,23700,23649.7,23499.7,164.71,260.28,65,6212.05,58.02,TARGET HIT (+150 Pts),22311.2
31,2026-09-09 09:15,2026-09-09 10:15,PE,23600,23485.4,23520.4,202.14,180.87,65,-1382.55,-10.52,FIXED SL HIT (-35 Pts),20928.65
32,2026-09-09 12:15,2026-09-09 14:15,CE,23400,23543.95,23508.95,233.06,209.77,65,-1513.85,-9.99,FIXED SL HIT (-35 Pts),19414.8
33,2026-09-09 14:15,2026-09-11 09:15,PE,23600,23462.15,23312.15,217.01,326.13,65,7092.8,50.28,TARGET HIT (+150 Pts),26507.6
34,2026-09-11 09:15,2026-09-11 10:15,PE,23400,23297.2,23332.2,193.7,172.87,65,-1353.95,-10.75,FIXED SL HIT (-35 Pts),25153.65
35,2026-09-11 10:15,2026-09-15 09:15,CE,23200,23337.9,23487.9,227.78,340.42,65,7321.6,49.45,TARGET HIT (+150 Pts),32475.25
36,2026-09-15 09:15,2026-09-15 13:15,PE,23500,23386.75,23236.75,200.74,306.36,65,6865.3,52.62,TARGET HIT (+150 Pts),39340.55
37,2026-09-15 14:15,2026-09-16 09:15,PE,23300,23172.25,23207.25,208.84,187.01,65,-1418.95,-10.45,FIXED SL HIT (-35 Pts),37921.6
