Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Capital (RS)
175,2026-01-22 14:15,2026-01-22 15:15,CE,25200,25288.55,25297.35,207.71,213.18,65,355.55,42306.5
176,2026-01-23 13:15,2026-01-23 14:15,PE,25200,25063.4,25063.85,224.87,224.58,65,-18.85,42287.65
177,2026-01-27 09:15,2026-01-27 10:15,CE,25000,25128.45,25149.0,231.98,245.73,65,893.75,43181.4
178,2026-01-27 13:15,2026-01-27 14:15,PE,25100,25034.55,25042.85,181.27,176.6,65,-303.55,42877.85
179,2026-01-27 14:15,2026-01-27 15:15,CE,25100,25170.4,25211.1,196.06,221.3,65,1640.6,44518.45
180,2026-01-28 09:15,2026-01-28 10:15,CE,25100,25248.1,25295.6,245.7,278.95,65,2161.25,46679.7
181,2026-01-28 14:15,2026-01-29 09:15,CE,25200,25329.65,25323.4,233.95,229.85,65,-266.5,46413.2
182,2026-01-29 09:15,2026-01-29 10:15,PE,25300,25211.65,25202.65,195.68,201.04,65,348.4,46761.6
183,2026-01-30 09:15,2026-01-30 10:15,PE,25400,25314.3,25282.1,194.68,214.16,65,1266.2,48027.8
184,2026-01-30 13:15,2026-01-30 14:15,CE,25300,25352.45,25333.8,186.71,176.09,65,-690.3,47337.5
185,2026-02-03 09:15,2026-02-03 10:15,CE,25600,25671.0,25786.65,199.48,275.31,65,4928.95,52266.45
186,2026-02-04 09:15,2026-02-04 10:15,CE,25700,25782.3,25752.05,206.92,188.95,65,-1168.05,51098.4
187,2026-02-05 09:15,2026-02-05 10:15,PE,25800,25672.75,25646.95,222.22,238.78,65,1076.4,52174.8
188,2026-02-06 09:15,2026-02-06 10:15,PE,25600,25515.8,25527.15,194.94,188.36,65,-427.7,51747.1
189,2026-02-06 11:15,2026-02-06 12:15,CE,25500,25611.05,25579.35,223.66,203.9,65,-1284.4,50462.7
190,2026-02-06 12:15,2026-02-06 13:15,PE,25700,25561.45,25584.1,228.84,214.59,65,-926.25,49536.45
191,2026-02-09 09:15,2026-02-09 10:15,CE,25700,25801.6,25835.05,218.87,240.46,65,1403.35,50939.8
192,2026-02-10 09:15,2026-02-10 10:15,CE,25800,25944.35,25943.55,247.24,246.7,65,-35.1,50904.7
193,2026-02-10 13:15,2026-02-10 14:15,PE,26000,25918.7,25938.85,195.53,184.02,65,-748.15,50156.55
194,2026-02-11 12:15,2026-02-11 13:15,PE,26000,25923.75,25955.1,192.6,175.05,65,-1140.75,49015.8
195,2026-02-12 09:15,2026-02-12 10:15,PE,26000,25880.85,25878.15,218.26,219.94,65,109.2,49125.0
196,2026-02-12 13:15,2026-02-12 14:15,PE,25900,25817.55,25787.4,195.63,213.67,65,1172.6,50297.6
197,2026-02-13 09:15,2026-02-13 10:15,PE,25600,25531.75,25548.55,185.73,176.32,65,-611.65,49685.95
198,2026-02-16 09:15,2026-02-16 10:15,CE,25500,25551.45,25526.15,187.37,173.08,65,-928.85,48757.1
199,2026-02-16 14:15,2026-02-17 09:15,CE,25600,25686.75,25657.75,209.03,191.65,65,-1129.7,47627.4
200,2026-02-17 13:15,2026-02-17 14:15,PE,25800,25670.95,25697.6,223.35,206.9,65,-1069.25,46558.15
201,2026-02-18 09:15,2026-02-18 10:15,PE,25800,25661.95,25680.9,229.07,217.12,65,-776.75,45781.4
202,2026-02-19 09:15,2026-02-19 10:15,PE,25900,25756.45,25743.75,233.14,241.41,65,537.55,46318.95
203,2026-02-19 11:15,2026-02-19 12:15,PE,25700,25603.5,25603.2,202.79,202.97,65,11.7,46330.65
204,2026-02-19 14:15,2026-02-19 15:15,PE,25500,25447.6,25425.5,176.27,188.74,65,810.55,47141.2
205,2026-02-20 09:15,2026-02-20 10:15,CE,25400,25480.45,25571.0,203.96,263.16,65,3848.0,50989.2
206,2026-02-20 10:15,2026-02-20 11:15,CE,25500,25561.85,25585.05,193.44,207.38,65,906.1,51895.3
207,2026-02-20 12:15,2026-02-20 13:15,PE,25700,25554.6,25567.0,233.26,225.3,65,-517.4,51377.9
208,2026-02-23 09:15,2026-02-23 10:15,CE,25600,25717.85,25698.7,228.62,216.45,65,-791.05,50586.85
209,2026-02-23 14:15,2026-02-24 09:15,CE,25600,25710.75,25687.5,224.07,209.49,65,-947.7,49639.15
210,2026-02-25 12:15,2026-02-25 13:15,PE,25600,25462.6,25463.4,227.56,227.05,65,-33.15,49606.0
211,2026-02-26 09:15,2026-02-26 10:15,CE,25500,25558.25,25527.0,191.33,173.55,65,-1155.7,48450.3
212,2026-02-26 11:15,2026-02-26 12:15,PE,25600,25459.3,25436.6,229.68,244.54,65,965.9,49416.2
213,2026-02-26 14:15,2026-02-27 09:15,CE,25400,25486.15,25468.25,207.45,196.62,65,-703.95,48712.25
214,2026-02-27 09:15,2026-02-27 10:15,PE,25400,25322.6,25327.65,189.84,186.93,65,-189.15,48523.1
215,2026-02-27 13:15,2026-02-27 14:15,CE,25200,25324.55,25293.9,230.6,211.03,65,-1272.05,47251.05
216,2026-02-27 14:15,2026-03-02 09:15,PE,25300,25167.9,24757.0,222.54,553.74,65,21528.0,68779.05
217,2026-03-02 09:15,2026-03-02 10:15,PE,25000,24884.85,24847.25,210.23,234.29,65,1563.9,70342.95
218,2026-03-02 13:15,2026-03-02 14:15,CE,24700,24787.4,24869.8,203.96,258.37,65,3536.65,73879.6
219,2026-03-02 14:15,2026-03-02 15:15,CE,24800,24904.8,24879.85,215.48,199.94,65,-1010.1,72869.5
220,2026-03-04 09:15,2026-03-04 10:15,PE,24500,24413.65,24410.7,189.96,191.71,65,113.75,72983.25
221,2026-03-04 13:15,2026-03-04 14:15,CE,24500,24554.95,24567.0,183.23,190.35,65,462.8,73446.05
222,2026-03-05 09:15,2026-03-05 10:15,CE,24500,24596.25,24637.5,208.27,235.06,65,1741.35,75187.4
223,2026-03-05 14:15,2026-03-05 15:15,CE,24600,24714.8,24724.4,220.7,226.96,65,406.9,75594.3
224,2026-03-06 14:15,2026-03-06 15:15,PE,24500,24441.65,24451.65,173.81,168.25,65,-361.4,75232.9
225,2026-03-09 09:15,2026-03-09 10:15,PE,23900,23807.25,23779.85,190.39,207.28,65,1097.85,76330.75
226,2026-03-09 14:15,2026-03-09 15:15,CE,23900,24047.8,24021.15,238.57,220.69,65,-1162.2,75168.55
227,2026-03-10 09:15,2026-03-10 10:15,CE,24100,24151.05,24198.2,178.49,207.09,65,1859.0,77027.55
228,2026-03-11 09:15,2026-03-11 10:15,PE,24200,24116.5,24084.4,186.58,206.08,65,1267.5,78295.05
229,2026-03-12 09:15,2026-03-12 10:15,PE,23700,23610.15,23624.9,187.52,178.81,65,-566.15,77728.9
230,2026-03-12 10:15,2026-03-12 11:15,CE,23600,23741.05,23721.65,232.24,219.25,65,-844.35,76884.55
231,2026-03-12 14:15,2026-03-13 09:15,PE,23700,23633.9,23346.85,173.61,380.16,65,13425.75,90310.3
232,2026-03-13 09:15,2026-03-13 10:15,PE,23400,23329.8,23341.5,174.25,167.57,65,-434.2,89876.1
233,2026-03-16 10:15,2026-03-16 11:15,PE,23200,23092.35,23125.7,195.59,175.49,65,-1306.5,88569.6
234,2026-03-16 11:15,2026-03-16 12:15,CE,23100,23162.85,23161.45,179.28,178.44,65,-54.6,88515.0
235,2026-03-16 14:15,2026-03-16 15:15,CE,23300,23435.25,23401.05,226.57,204.1,65,-1460.55,87054.45
236,2026-03-17 09:15,2026-03-17 10:15,CE,23400,23526.0,23541.55,220.95,231.42,65,680.55,87735.0
237,2026-03-17 11:15,2026-03-17 12:15,PE,23500,23435.3,23415.35,171.66,183.29,65,755.95,88490.95
238,2026-03-17 12:15,2026-03-17 13:15,CE,23400,23531.6,23573.9,224.69,253.99,65,1904.5,90395.45
239,2026-03-18 09:15,2026-03-18 10:15,CE,23600,23664.3,23755.75,183.21,242.33,65,3842.8,94238.25
240,2026-03-19 09:15,2026-03-19 10:15,PE,23300,23236.65,23239.05,169.75,168.38,65,-89.05,94149.2
