Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
333,2026-06-08 14:15,2026-06-08 15:15,PE,23200,23134.45,23124.9,170.43,175.96,65,359.45,3.24,TRAILING SL HIT (+9.5 Spot Pts),277597.4
334,2026-06-09 09:15,2026-06-09 10:15,CE,23100,23168.1,23142.35,182.43,167.28,65,-984.75,-8.3,STOP LOSS HIT (-25.8 Spot Pts),276612.65
335,2026-06-09 10:15,2026-06-09 11:15,PE,23200,23144.7,23140.1,164.62,167.21,65,168.35,1.57,TRAILING SL HIT (+4.6 Spot Pts),276781.0
336,2026-06-09 11:15,2026-06-09 12:15,CE,23100,23186.8,23191.65,193.9,196.93,65,196.95,1.56,TRAILING SL HIT (+4.8 Spot Pts),276977.95
337,2026-06-09 12:15,2026-06-09 13:15,CE,23100,23208.1,23188.2,207.43,194.77,65,-822.9,-6.1,STOP LOSS HIT (-19.9 Spot Pts),276155.05
338,2026-06-09 14:15,2026-06-09 15:15,CE,23100,23244.8,23226.05,231.92,219.23,65,-824.85,-5.47,STOP LOSS HIT (-18.8 Spot Pts),275330.2
339,2026-06-10 09:15,2026-06-10 10:15,CE,23200,23317.0,23353.85,213.83,238.74,65,1619.15,11.65,TRAILING SL HIT (+36.8 Spot Pts),276949.35
340,2026-06-10 11:15,2026-06-10 12:15,CE,23300,23395.4,23389.8,200.5,196.98,65,-228.8,-1.76,STOP LOSS HIT (-5.6 Spot Pts),276720.55
341,2026-06-10 13:15,2026-06-10 14:15,PE,23400,23317.15,23233.85,181.66,234.86,65,3458.0,29.29,TRAILING SL HIT (+83.3 Spot Pts),280178.55
342,2026-06-10 14:15,2026-06-11 09:15,PE,23300,23199.7,23107.4,191.61,252.81,65,3978.0,31.94,TRAILING SL HIT (+92.3 Spot Pts),284156.55
343,2026-06-11 09:15,2026-06-11 10:15,PE,23200,23145.5,23179.7,164.17,145.68,65,-1201.85,-11.26,STOP LOSS HIT (-34.2 Spot Pts),282954.7
344,2026-06-11 10:15,2026-06-11 11:15,CE,23100,23181.65,23257.45,190.7,240.68,65,3248.7,26.21,TRAILING SL HIT (+75.8 Spot Pts),286203.4
345,2026-06-11 11:15,2026-06-11 12:15,CE,23200,23285.25,23292.25,193.54,197.91,65,284.05,2.26,TRAILING SL HIT (+7.0 Spot Pts),286487.45
346,2026-06-11 13:15,2026-06-11 14:15,PE,23300,23218.75,23166.95,180.14,212.27,65,2088.45,17.84,TRAILING SL HIT (+51.8 Spot Pts),288575.9
347,2026-06-11 14:15,2026-06-11 15:15,PE,23300,23165.8,23191.4,213.02,196.73,65,-1058.85,-7.65,STOP LOSS HIT (-25.6 Spot Pts),287517.05
348,2026-06-12 09:15,2026-06-12 10:15,CE,23200,23342.65,23343.35,231.02,231.5,65,31.2,0.21,TRAILING SL HIT (+0.7 Spot Pts),287548.25
349,2026-06-12 12:15,2026-06-12 13:15,PE,23400,23336.25,23356.6,170.55,159.17,65,-739.7,-6.67,STOP LOSS HIT (-20.3 Spot Pts),286808.55
350,2026-06-12 13:15,2026-06-12 14:15,CE,23400,23527.5,23610.2,221.95,280.54,65,3808.35,26.4,TRAILING SL HIT (+82.7 Spot Pts),290616.9
351,2026-06-12 14:15,2026-06-15 09:15,CE,23500,23621.8,23969.7,218.76,500.39,65,18305.95,128.74,TRAILING SL HIT (+347.9 Spot Pts),308922.85
352,2026-06-15 09:15,2026-06-15 10:15,CE,23800,23945.5,23974.1,236.42,256.36,65,1296.1,8.43,TRAILING SL HIT (+28.6 Spot Pts),310218.95
353,2026-06-15 11:15,2026-06-15 12:15,PE,24000,23931.3,23927.45,176.82,179.04,65,144.3,1.26,TRAILING SL HIT (+3.9 Spot Pts),310363.25
354,2026-06-15 12:15,2026-06-15 13:15,PE,24000,23916.0,23900.85,185.74,194.82,65,590.2,4.89,TRAILING SL HIT (+15.2 Spot Pts),310953.45
