Trade #,Entry Time,Exit Time,Type,Strike,Entry Spot,Exit Spot,Option Buy Price (RS),Option Sell Price (RS),Qty,Trade PnL (RS),Return (%),Reason,Capital (RS)
106,2026-02-20 10:15,2026-02-20 11:15,CE,25500,25561.85,25585.05,193.44,207.38,65,906.1,7.21,TRAILING SL HIT (+23.2 Spot Pts),50299.55
107,2026-02-20 12:15,2026-02-20 13:15,PE,25700,25554.6,25567.0,233.26,225.3,65,-517.4,-3.41,STOP LOSS HIT (-12.4 Spot Pts),49782.15
108,2026-02-23 09:15,2026-02-23 10:15,CE,25600,25717.85,25698.7,228.62,216.45,65,-791.05,-5.32,STOP LOSS HIT (-19.2 Spot Pts),48991.1
109,2026-02-23 13:15,2026-02-23 14:15,PE,25700,25629.85,25654.75,187.39,173.5,65,-902.85,-7.41,STOP LOSS HIT (-24.9 Spot Pts),48088.25
110,2026-02-23 14:15,2026-02-24 09:15,CE,25600,25710.75,25687.5,224.07,209.49,65,-947.7,-6.51,STOP LOSS HIT (-23.2 Spot Pts),47140.55
111,2026-02-24 09:15,2026-02-24 10:15,PE,25600,25484.7,25495.85,213.66,206.83,65,-443.95,-3.2,STOP LOSS HIT (-11.2 Spot Pts),46696.6
112,2026-02-24 12:15,2026-02-24 13:15,PE,25500,25424.6,25363.0,189.26,226.76,65,2437.5,19.81,TRAILING SL HIT (+61.6 Spot Pts),49134.1
113,2026-02-25 09:15,2026-02-25 10:15,CE,25500,25631.75,25617.5,237.1,227.8,65,-604.5,-3.92,STOP LOSS HIT (-14.2 Spot Pts),48529.6
114,2026-02-25 11:15,2026-02-25 12:15,PE,25700,25600.2,25475.3,204.77,287.64,65,5386.55,40.47,TRAILING SL HIT (+124.9 Spot Pts),53916.15
115,2026-02-25 12:15,2026-02-25 13:15,PE,25600,25462.6,25463.4,227.56,227.05,65,-33.15,-0.22,STOP LOSS HIT (-0.8 Spot Pts),53883.0
116,2026-02-26 09:15,2026-02-26 10:15,CE,25500,25558.25,25527.0,191.33,173.55,65,-1155.7,-9.29,STOP LOSS HIT (-31.2 Spot Pts),52727.3
117,2026-02-26 11:15,2026-02-26 12:15,PE,25600,25459.3,25436.6,229.68,244.54,65,965.9,6.47,TRAILING SL HIT (+22.7 Spot Pts),53693.2
118,2026-02-26 12:15,2026-02-26 13:15,PE,25500,25428.55,25438.4,186.98,181.39,65,-363.35,-2.99,STOP LOSS HIT (-9.8 Spot Pts),53329.85
119,2026-02-26 14:15,2026-02-27 09:15,CE,25400,25486.15,25468.25,207.45,196.62,65,-703.95,-5.22,STOP LOSS HIT (-17.9 Spot Pts),52625.9
120,2026-02-27 09:15,2026-02-27 10:15,PE,25400,25322.6,25327.65,189.84,186.93,65,-189.15,-1.53,STOP LOSS HIT (-5.1 Spot Pts),52436.75
121,2026-02-27 11:15,2026-02-27 12:15,PE,25400,25284.95,25304.65,212.39,200.41,65,-778.7,-5.64,STOP LOSS HIT (-19.7 Spot Pts),51658.05
122,2026-02-27 13:15,2026-02-27 14:15,CE,25200,25324.55,25293.9,230.6,211.03,65,-1272.05,-8.49,STOP LOSS HIT (-30.7 Spot Pts),50386.0
123,2026-02-27 14:15,2026-03-02 09:15,PE,25300,25167.9,24757.0,222.54,553.74,65,21528.0,148.83,TRAILING SL HIT (+410.9 Spot Pts),71914.0
124,2026-03-02 09:15,2026-03-02 10:15,PE,25000,24884.85,24847.25,210.23,234.29,65,1563.9,11.44,TRAILING SL HIT (+37.6 Spot Pts),73477.9
125,2026-03-02 11:15,2026-03-02 12:15,PE,24800,24744.55,24714.1,173.92,191.4,65,1136.2,10.05,TRAILING SL HIT (+30.5 Spot Pts),74614.1
126,2026-03-02 12:15,2026-03-02 13:15,PE,24800,24695.5,24638.95,202.56,238.74,65,2351.7,17.86,TRAILING SL HIT (+56.6 Spot Pts),76965.8
127,2026-03-02 13:15,2026-03-02 14:15,CE,24700,24787.4,24869.8,203.96,258.37,65,3536.65,26.68,TRAILING SL HIT (+82.4 Spot Pts),80502.45
128,2026-03-02 14:15,2026-03-02 15:15,CE,24800,24904.8,24879.85,215.48,199.94,65,-1010.1,-7.21,STOP LOSS HIT (-25.0 Spot Pts),79492.35
129,2026-03-04 09:15,2026-03-04 10:15,PE,24500,24413.65,24410.7,189.96,191.71,65,113.75,0.92,TRAILING SL HIT (+3.0 Spot Pts),79606.1
130,2026-03-04 12:15,2026-03-04 13:15,CE,24400,24461.0,24521.45,186.17,223.84,65,2448.55,20.23,TRAILING SL HIT (+60.4 Spot Pts),82054.65
131,2026-03-04 13:15,2026-03-04 14:15,CE,24500,24554.95,24567.0,183.23,190.35,65,462.8,3.89,TRAILING SL HIT (+12.1 Spot Pts),82517.45
132,2026-03-05 09:15,2026-03-05 10:15,CE,24500,24596.25,24637.5,208.27,235.06,65,1741.35,12.86,TRAILING SL HIT (+41.2 Spot Pts),84258.8
133,2026-03-05 13:15,2026-03-05 14:15,PE,24700,24553.75,24564.55,228.42,221.41,65,-455.65,-3.07,STOP LOSS HIT (-10.8 Spot Pts),83803.15
134,2026-03-05 14:15,2026-03-05 15:15,CE,24600,24714.8,24724.4,220.7,226.96,65,406.9,2.84,TRAILING SL HIT (+9.6 Spot Pts),84210.05
135,2026-03-06 09:15,2026-03-06 10:15,PE,24800,24653.35,24610.75,229.21,257.99,65,1870.7,12.56,TRAILING SL HIT (+42.6 Spot Pts),86080.75
136,2026-03-06 14:15,2026-03-06 15:15,PE,24500,24441.65,24451.65,173.81,168.25,65,-361.4,-3.2,STOP LOSS HIT (-10.0 Spot Pts),85719.35
137,2026-03-09 09:15,2026-03-09 10:15,PE,23900,23807.25,23779.85,190.39,207.28,65,1097.85,8.87,TRAILING SL HIT (+27.4 Spot Pts),86817.2
138,2026-03-09 14:15,2026-03-09 15:15,CE,23900,24047.8,24021.15,238.57,220.69,65,-1162.2,-7.49,STOP LOSS HIT (-26.7 Spot Pts),85655.0
139,2026-03-10 09:15,2026-03-10 10:15,CE,24100,24151.05,24198.2,178.49,207.09,65,1859.0,16.02,TRAILING SL HIT (+47.1 Spot Pts),87514.0
140,2026-03-10 13:15,2026-03-10 14:15,CE,24200,24285.95,24261.65,200.03,185.32,65,-956.15,-7.35,STOP LOSS HIT (-24.3 Spot Pts),86557.85
141,2026-03-11 09:15,2026-03-11 10:15,PE,24200,24116.5,24084.4,186.58,206.08,65,1267.5,10.45,TRAILING SL HIT (+32.1 Spot Pts),87825.35
142,2026-03-11 10:15,2026-03-11 11:15,PE,24200,24071.4,24007.35,214.29,257.34,65,2798.25,20.09,TRAILING SL HIT (+64.1 Spot Pts),90623.6
143,2026-03-11 11:15,2026-03-11 12:15,PE,24100,24011.6,23955.3,188.91,224.18,65,2292.55,18.67,TRAILING SL HIT (+56.3 Spot Pts),92916.15
144,2026-03-11 12:15,2026-03-11 13:15,PE,24000,23929.65,23949.2,177.77,166.72,65,-718.25,-6.22,STOP LOSS HIT (-19.5 Spot Pts),92197.9
145,2026-03-11 14:15,2026-03-11 15:15,PE,24000,23861.9,23872.05,219.33,212.79,65,-425.1,-2.98,STOP LOSS HIT (-10.2 Spot Pts),91772.8
146,2026-03-12 09:15,2026-03-12 10:15,PE,23700,23610.15,23624.9,187.52,178.81,65,-566.15,-4.64,STOP LOSS HIT (-14.8 Spot Pts),91206.65
147,2026-03-12 10:15,2026-03-12 11:15,CE,23600,23741.05,23721.65,232.24,219.25,65,-844.35,-5.59,STOP LOSS HIT (-19.4 Spot Pts),90362.3
148,2026-03-12 14:15,2026-03-13 09:15,PE,23700,23633.9,23346.85,173.61,380.16,65,13425.75,118.97,TRAILING SL HIT (+287.1 Spot Pts),103788.05
149,2026-03-13 09:15,2026-03-13 10:15,PE,23400,23329.8,23341.5,174.25,167.57,65,-434.2,-3.83,STOP LOSS HIT (-11.7 Spot Pts),103353.85
150,2026-03-13 12:15,2026-03-13 13:15,PE,23300,23175.7,23148.3,206.63,224.56,65,1165.45,8.68,TRAILING SL HIT (+27.4 Spot Pts),104519.3
151,2026-03-16 10:15,2026-03-16 11:15,PE,23200,23092.35,23125.7,195.59,175.49,65,-1306.5,-10.28,STOP LOSS HIT (-33.3 Spot Pts),103212.8
152,2026-03-16 11:15,2026-03-16 12:15,CE,23100,23162.85,23161.45,179.28,178.44,65,-54.6,-0.47,STOP LOSS HIT (-1.4 Spot Pts),103158.2
153,2026-03-16 14:15,2026-03-16 15:15,CE,23300,23435.25,23401.05,226.57,204.1,65,-1460.55,-9.92,STOP LOSS HIT (-34.2 Spot Pts),101697.65
154,2026-03-17 09:15,2026-03-17 10:15,CE,23400,23526.0,23541.55,220.95,231.42,65,680.55,4.74,TRAILING SL HIT (+15.6 Spot Pts),102378.2
155,2026-03-17 11:15,2026-03-17 12:15,PE,23500,23435.3,23415.35,171.66,183.29,65,755.95,6.78,TRAILING SL HIT (+20.0 Spot Pts),103134.15
156,2026-03-17 12:15,2026-03-17 13:15,CE,23400,23531.6,23573.9,224.69,253.99,65,1904.5,13.04,TRAILING SL HIT (+42.3 Spot Pts),105038.65
157,2026-03-17 13:15,2026-03-17 14:15,CE,23500,23600.45,23621.2,204.91,218.36,65,874.25,6.56,TRAILING SL HIT (+20.8 Spot Pts),105912.9
158,2026-03-18 09:15,2026-03-18 10:15,CE,23600,23664.3,23755.75,183.21,242.33,65,3842.8,32.27,TRAILING SL HIT (+91.4 Spot Pts),109755.7
159,2026-03-18 10:15,2026-03-18 11:15,CE,23700,23785.3,23800.1,196.6,205.89,65,603.85,4.73,TRAILING SL HIT (+14.8 Spot Pts),110359.55
160,2026-03-18 13:15,2026-03-18 14:15,CE,23700,23817.65,23826.8,217.21,223.24,65,391.95,2.78,TRAILING SL HIT (+9.2 Spot Pts),110751.5
161,2026-03-19 09:15,2026-03-19 10:15,PE,23300,23236.65,23239.05,169.75,168.38,65,-89.05,-0.81,STOP LOSS HIT (-2.4 Spot Pts),110662.45
162,2026-03-19 12:15,2026-03-19 13:15,PE,23300,23200.25,23123.95,191.27,241.17,65,3243.5,26.09,TRAILING SL HIT (+76.3 Spot Pts),113905.95
163,2026-03-19 13:15,2026-03-19 14:15,PE,23200,23111.3,22966.95,184.01,281.94,65,6365.45,53.22,TRAILING SL HIT (+144.4 Spot Pts),120271.4
164,2026-03-19 14:15,2026-03-19 15:15,PE,23100,22987.25,23012.65,198.22,182.64,65,-1012.7,-7.86,STOP LOSS HIT (-25.4 Spot Pts),119258.7
165,2026-03-20 09:15,2026-03-20 10:15,CE,23100,23243.65,23282.9,231.13,258.82,65,1799.85,11.98,TRAILING SL HIT (+39.2 Spot Pts),121058.55
166,2026-03-20 14:15,2026-03-20 15:15,PE,23200,23106.85,23113.7,186.69,182.58,65,-267.15,-2.2,STOP LOSS HIT (-6.8 Spot Pts),120791.4
167,2026-03-23 09:15,2026-03-23 10:15,PE,22700,22572.3,22540.0,205.56,227.03,65,1395.55,10.44,TRAILING SL HIT (+32.3 Spot Pts),122186.95
168,2026-03-23 10:15,2026-03-23 11:15,PE,22700,22554.15,22543.3,217.48,224.78,65,474.5,3.36,TRAILING SL HIT (+10.8 Spot Pts),122661.45
169,2026-03-23 12:15,2026-03-23 13:15,PE,22600,22489.1,22517.85,194.3,176.71,65,-1143.35,-9.05,STOP LOSS HIT (-28.8 Spot Pts),121518.1
170,2026-03-23 13:15,2026-03-23 14:15,CE,22500,22618.7,22621.45,210.83,212.65,65,118.3,0.86,TRAILING SL HIT (+2.8 Spot Pts),121636.4
171,2026-03-24 09:15,2026-03-24 10:15,CE,22600,22708.1,22731.8,204.46,220.18,65,1021.8,7.69,TRAILING SL HIT (+23.7 Spot Pts),122658.2
172,2026-03-24 12:15,2026-03-24 13:15,CE,22900,22990.5,23022.1,195.0,215.43,65,1327.95,10.48,TRAILING SL HIT (+31.6 Spot Pts),123986.15
173,2026-03-24 14:15,2026-03-24 15:15,PE,23000,22898.65,22916.3,190.58,179.9,65,-694.2,-5.6,STOP LOSS HIT (-17.7 Spot Pts),123291.95
174,2026-03-25 09:15,2026-03-25 10:15,CE,23200,23305.55,23398.55,206.38,270.81,65,4187.95,31.22,TRAILING SL HIT (+93.0 Spot Pts),127479.9
175,2026-03-25 10:15,2026-03-25 11:15,CE,23300,23432.55,23407.0,224.75,207.91,65,-1094.6,-7.49,STOP LOSS HIT (-25.6 Spot Pts),126385.3
176,2026-03-25 11:15,2026-03-25 12:15,CE,23300,23440.35,23430.25,230.03,223.21,65,-443.3,-2.96,STOP LOSS HIT (-10.1 Spot Pts),125942.0
177,2026-03-25 14:15,2026-03-25 15:15,PE,23400,23300.65,23308.95,191.58,186.55,65,-326.95,-2.63,STOP LOSS HIT (-8.3 Spot Pts),125615.05
178,2026-03-27 09:15,2026-03-27 10:15,PE,23100,22979.85,22984.75,202.89,199.79,65,-201.5,-1.53,STOP LOSS HIT (-4.9 Spot Pts),125413.55
179,2026-03-27 11:15,2026-03-27 12:15,PE,23000,22934.15,22941.4,169.46,165.33,65,-268.45,-2.44,STOP LOSS HIT (-7.2 Spot Pts),125145.1
180,2026-03-27 14:15,2026-03-30 09:15,PE,22900,22815.2,22507.95,179.99,411.16,65,15026.05,128.43,TRAILING SL HIT (+307.2 Spot Pts),140171.15
181,2026-03-30 09:15,2026-03-30 10:15,PE,22700,22596.75,22489.0,190.08,263.2,65,4752.8,38.47,TRAILING SL HIT (+107.8 Spot Pts),144923.95
182,2026-03-30 13:15,2026-03-30 14:15,PE,22500,22420.5,22320.55,174.57,239.5,65,4220.45,37.19,TRAILING SL HIT (+99.9 Spot Pts),149144.4
183,2026-03-30 14:15,2026-03-30 15:15,PE,22400,22335.6,22360.15,165.19,151.45,65,-893.1,-8.32,STOP LOSS HIT (-24.6 Spot Pts),148251.3
184,2026-04-01 09:15,2026-04-01 10:15,CE,22800,22868.85,22844.45,181.04,166.63,65,-936.65,-7.96,STOP LOSS HIT (-24.4 Spot Pts),147314.65
185,2026-04-01 10:15,2026-04-01 11:15,PE,22900,22763.75,22771.95,212.2,206.87,65,-346.45,-2.51,STOP LOSS HIT (-8.2 Spot Pts),146968.2
186,2026-04-01 12:15,2026-04-01 13:15,CE,22800,22883.3,22862.95,189.9,177.5,65,-806.0,-6.53,STOP LOSS HIT (-20.4 Spot Pts),146162.2
187,2026-04-01 13:15,2026-04-01 14:15,PE,22900,22753.0,22654.05,219.31,290.38,65,4619.55,32.41,TRAILING SL HIT (+98.9 Spot Pts),150781.75
188,2026-04-02 09:15,2026-04-02 10:15,PE,22300,22234.35,22223.95,165.34,171.4,65,393.9,3.67,TRAILING SL HIT (+10.4 Spot Pts),151175.65
189,2026-04-02 11:15,2026-04-02 12:15,CE,22200,22267.0,22370.2,176.26,244.71,65,4449.25,38.83,TRAILING SL HIT (+103.2 Spot Pts),155624.9
190,2026-04-02 12:15,2026-04-02 13:15,CE,22300,22369.85,22593.25,178.59,340.81,65,10544.3,90.83,TRAILING SL HIT (+223.4 Spot Pts),166169.2
191,2026-04-02 13:15,2026-04-02 14:15,CE,22500,22627.25,22726.45,216.53,288.25,65,4661.8,33.12,TRAILING SL HIT (+99.2 Spot Pts),170831.0
192,2026-04-02 14:15,2026-04-02 15:15,CE,22700,22760.4,22746.95,175.36,167.46,65,-513.5,-4.51,STOP LOSS HIT (-13.5 Spot Pts),170317.5
193,2026-04-06 09:15,2026-04-06 10:15,PE,22800,22654.85,22578.4,217.54,271.51,65,3508.05,24.81,TRAILING SL HIT (+76.4 Spot Pts),173825.55
194,2026-04-06 12:15,2026-04-06 13:15,CE,22800,22860.7,22878.35,176.15,186.84,65,694.85,6.07,TRAILING SL HIT (+17.7 Spot Pts),174520.4
195,2026-04-06 13:15,2026-04-06 14:15,CE,22800,22911.4,22962.65,207.8,242.65,65,2265.25,16.77,TRAILING SL HIT (+51.2 Spot Pts),176785.65
196,2026-04-06 14:15,2026-04-06 15:15,CE,22900,22989.35,22956.2,194.28,174.1,65,-1311.7,-10.39,STOP LOSS HIT (-33.2 Spot Pts),175473.95
197,2026-04-07 09:15,2026-04-07 10:15,PE,23000,22920.0,22862.75,177.7,213.39,65,2319.85,20.08,TRAILING SL HIT (+57.2 Spot Pts),177793.8
198,2026-04-07 13:15,2026-04-07 14:15,CE,22900,23011.95,23098.25,208.75,268.99,65,3915.6,28.86,TRAILING SL HIT (+86.3 Spot Pts),181709.4
199,2026-04-07 14:15,2026-04-07 15:15,CE,23000,23109.25,23116.85,207.59,212.55,65,322.4,2.39,TRAILING SL HIT (+7.6 Spot Pts),182031.8
200,2026-04-08 09:15,2026-04-08 10:15,CE,23800,23880.15,23969.2,194.03,252.88,65,3825.25,30.33,TRAILING SL HIT (+89.0 Spot Pts),185857.05
201,2026-04-08 10:15,2026-04-08 11:15,CE,23900,23991.75,23979.0,201.83,193.93,65,-513.5,-3.91,STOP LOSS HIT (-12.8 Spot Pts),185343.55
202,2026-04-09 09:15,2026-04-09 10:15,PE,23900,23839.0,23838.65,171.86,172.05,65,12.35,0.11,TRAILING SL HIT (+0.3 Spot Pts),185355.9
203,2026-04-09 11:15,2026-04-09 12:15,CE,23800,23881.25,23851.9,194.7,177.13,65,-1142.05,-9.02,STOP LOSS HIT (-29.3 Spot Pts),184213.85
204,2026-04-09 13:15,2026-04-09 14:15,PE,23900,23753.2,23718.35,224.49,248.12,65,1535.95,10.53,TRAILING SL HIT (+34.8 Spot Pts),185749.8
205,2026-04-10 09:15,2026-04-10 10:15,CE,23900,23994.4,24000.6,203.49,207.41,65,254.8,1.93,TRAILING SL HIT (+6.2 Spot Pts),186004.6
206,2026-04-10 10:15,2026-04-10 11:15,CE,23900,24013.3,23984.55,215.56,197.35,65,-1183.65,-8.45,STOP LOSS HIT (-28.8 Spot Pts),184820.95
207,2026-04-10 14:15,2026-04-13 09:15,CE,24000,24057.5,24028.45,181.64,165.02,65,-1080.3,-9.15,STOP LOSS HIT (-29.1 Spot Pts),183740.65
208,2026-04-13 09:15,2026-04-13 10:15,PE,23800,23660.05,23669.05,219.46,213.62,65,-379.6,-2.66,STOP LOSS HIT (-9.0 Spot Pts),183361.05
209,2026-04-13 10:15,2026-04-13 11:15,CE,23600,23743.7,23781.1,234.04,260.26,65,1704.3,11.2,TRAILING SL HIT (+37.4 Spot Pts),185065.35
210,2026-04-13 11:15,2026-04-13 12:15,CE,23700,23814.6,23812.1,215.22,213.59,65,-105.95,-0.76,STOP LOSS HIT (-2.5 Spot Pts),184959.4
211,2026-04-13 12:15,2026-04-13 13:15,CE,23700,23820.65,23870.65,219.18,253.35,65,2221.05,15.59,TRAILING SL HIT (+50.0 Spot Pts),187180.45
212,2026-04-13 13:15,2026-04-13 14:15,CE,23800,23854.5,23862.45,178.65,183.34,65,304.85,2.63,TRAILING SL HIT (+7.9 Spot Pts),187485.3
213,2026-04-15 09:15,2026-04-15 10:15,CE,24100,24241.65,24238.15,235.54,233.17,65,-154.05,-1.01,STOP LOSS HIT (-3.5 Spot Pts),187331.25
214,2026-04-16 09:15,2026-04-16 10:15,CE,24200,24307.6,24298.2,213.67,207.69,65,-388.7,-2.8,STOP LOSS HIT (-9.4 Spot Pts),186942.55
215,2026-04-16 11:15,2026-04-16 12:15,PE,24300,24184.8,24143.1,206.38,233.32,65,1751.1,13.05,TRAILING SL HIT (+41.7 Spot Pts),188693.65
216,2026-04-16 12:15,2026-04-16 13:15,PE,24200,24122.3,24138.1,183.17,174.09,65,-590.2,-4.96,STOP LOSS HIT (-15.8 Spot Pts),188103.45
217,2026-04-17 09:15,2026-04-17 10:15,CE,24200,24272.95,24268.85,192.08,189.61,65,-160.55,-1.29,STOP LOSS HIT (-4.1 Spot Pts),187942.9
218,2026-04-17 13:15,2026-04-17 14:15,CE,24200,24306.85,24322.9,213.19,223.61,65,677.3,4.89,TRAILING SL HIT (+16.1 Spot Pts),188620.2
219,2026-04-17 14:15,2026-04-20 15:15,CE,24300,24354.55,24359.05,181.76,184.4,65,171.6,1.45,TRAILING SL HIT (+4.5 Spot Pts),188791.8
220,2026-04-21 09:15,2026-04-21 10:15,CE,24400,24513.15,24529.5,218.44,229.14,65,695.5,4.9,TRAILING SL HIT (+16.3 Spot Pts),189487.3
221,2026-04-21 10:15,2026-04-21 11:15,CE,24500,24557.45,24533.25,184.69,170.81,65,-902.2,-7.52,STOP LOSS HIT (-24.2 Spot Pts),188585.1
222,2026-04-21 14:15,2026-04-22 09:15,CE,24500,24573.0,24565.85,193.95,189.66,65,-278.85,-2.21,STOP LOSS HIT (-7.2 Spot Pts),188306.25
223,2026-04-22 09:15,2026-04-22 10:15,PE,24500,24373.15,24388.7,214.82,205.07,65,-633.75,-4.54,STOP LOSS HIT (-15.5 Spot Pts),187672.5
224,2026-04-22 14:15,2026-04-22 15:15,PE,24500,24382.4,24391.7,208.99,203.22,65,-375.05,-2.76,STOP LOSS HIT (-9.3 Spot Pts),187297.45
225,2026-04-23 09:15,2026-04-23 10:15,PE,24400,24275.35,24220.2,212.88,249.4,65,2373.8,17.16,TRAILING SL HIT (+55.2 Spot Pts),189671.25
226,2026-04-23 14:15,2026-04-24 09:15,PE,24300,24160.0,23979.85,222.18,354.96,65,8630.7,59.76,TRAILING SL HIT (+180.2 Spot Pts),198301.95
227,2026-04-24 09:15,2026-04-24 10:15,PE,24100,23992.85,23945.05,200.28,230.96,65,1994.2,15.32,TRAILING SL HIT (+47.8 Spot Pts),200296.15
228,2026-04-24 10:15,2026-04-24 11:15,PE,24000,23916.2,23929.15,185.62,178.06,65,-491.4,-4.07,STOP LOSS HIT (-13.0 Spot Pts),199804.75
229,2026-04-24 12:15,2026-04-24 13:15,PE,24000,23865.5,23850.35,217.0,226.91,65,644.15,4.57,TRAILING SL HIT (+15.2 Spot Pts),200448.9
230,2026-04-24 13:15,2026-04-24 14:15,PE,23900,23841.65,23875.15,170.36,152.13,65,-1184.95,-10.7,STOP LOSS HIT (-33.5 Spot Pts),199263.95
231,2026-04-24 14:15,2026-04-27 09:15,CE,23800,23895.45,24072.35,203.55,330.66,65,8262.15,62.45,TRAILING SL HIT (+176.9 Spot Pts),207526.1
232,2026-04-27 09:15,2026-04-27 10:15,CE,24000,24063.3,24068.15,185.07,187.97,65,188.5,1.57,TRAILING SL HIT (+4.8 Spot Pts),207714.6
233,2026-04-27 12:15,2026-04-27 13:15,CE,24000,24099.75,24094.3,207.47,204.03,65,-223.6,-1.66,STOP LOSS HIT (-5.4 Spot Pts),207491.0
234,2026-04-27 13:15,2026-04-27 14:15,CE,24000,24122.2,24095.3,221.97,204.66,65,-1125.15,-7.8,STOP LOSS HIT (-26.9 Spot Pts),206365.85
235,2026-04-28 09:15,2026-04-28 10:15,CE,24000,24148.3,24146.75,239.49,238.43,65,-68.9,-0.44,STOP LOSS HIT (-1.6 Spot Pts),206296.95
236,2026-04-28 11:15,2026-04-28 12:15,PE,24100,24048.25,24027.55,167.82,179.55,65,762.45,6.99,TRAILING SL HIT (+20.7 Spot Pts),207059.4
237,2026-04-28 12:15,2026-04-28 13:15,PE,24100,24017.6,23996.6,185.36,197.98,65,820.3,6.81,TRAILING SL HIT (+21.0 Spot Pts),207879.7
238,2026-04-28 13:15,2026-04-28 14:15,PE,24100,23981.95,24003.65,207.06,193.69,65,-869.05,-6.46,STOP LOSS HIT (-21.7 Spot Pts),207010.65
239,2026-04-29 09:15,2026-04-29 10:15,CE,24100,24233.8,24263.85,230.25,250.81,65,1336.4,8.93,TRAILING SL HIT (+30.0 Spot Pts),208347.05
240,2026-04-29 10:15,2026-04-29 11:15,CE,24200,24288.15,24276.15,201.4,194.02,65,-479.7,-3.66,STOP LOSS HIT (-12.0 Spot Pts),207867.35
241,2026-04-29 12:15,2026-04-29 13:15,CE,24200,24318.2,24290.85,220.53,203.08,65,-1134.25,-7.91,STOP LOSS HIT (-27.3 Spot Pts),206733.1
242,2026-04-29 13:15,2026-04-29 14:15,PE,24300,24214.6,24203.65,188.27,194.81,65,425.1,3.47,TRAILING SL HIT (+10.9 Spot Pts),207158.2
243,2026-04-29 14:15,2026-04-30 09:15,PE,24300,24170.15,23859.9,215.64,457.62,65,15728.7,112.21,TRAILING SL HIT (+310.2 Spot Pts),222886.9
244,2026-04-30 09:15,2026-04-30 10:15,PE,23900,23828.6,23833.9,177.8,174.76,65,-197.6,-1.71,STOP LOSS HIT (-5.3 Spot Pts),222689.3
245,2026-04-30 10:15,2026-04-30 11:15,PE,23900,23799.9,23832.05,194.84,175.82,65,-1236.3,-9.76,STOP LOSS HIT (-32.2 Spot Pts),221453.0
246,2026-04-30 11:15,2026-04-30 12:15,CE,23800,23899.75,23921.3,206.27,220.2,65,905.45,6.75,TRAILING SL HIT (+21.6 Spot Pts),222358.45
247,2026-04-30 12:15,2026-04-30 13:15,CE,23900,23950.15,24025.75,176.73,223.72,65,3054.35,26.59,TRAILING SL HIT (+75.6 Spot Pts),225412.8
248,2026-04-30 13:15,2026-04-30 14:15,CE,23900,24022.85,24051.95,221.81,241.42,65,1274.65,8.84,TRAILING SL HIT (+29.1 Spot Pts),226687.45
249,2026-05-04 09:15,2026-05-04 10:15,CE,24100,24175.2,24205.65,192.83,211.83,65,1235.0,9.85,TRAILING SL HIT (+30.5 Spot Pts),227922.45
250,2026-05-04 11:15,2026-05-04 12:15,PE,24200,24117.0,24118.6,186.28,185.34,65,-61.1,-0.5,STOP LOSS HIT (-1.6 Spot Pts),227861.35
251,2026-05-04 12:15,2026-05-04 13:15,PE,24200,24109.1,24040.3,190.97,234.67,65,2840.5,22.88,TRAILING SL HIT (+68.8 Spot Pts),230701.85
252,2026-05-04 14:15,2026-05-05 09:15,CE,24000,24123.25,24100.45,222.66,207.91,65,-958.75,-6.62,STOP LOSS HIT (-22.8 Spot Pts),229743.1
253,2026-05-05 09:15,2026-05-05 10:15,PE,24100,23986.0,23950.25,204.53,227.51,65,1493.7,11.24,TRAILING SL HIT (+35.8 Spot Pts),231236.8
254,2026-05-05 10:15,2026-05-05 11:15,PE,24000,23939.0,23918.5,172.43,184.26,65,768.95,6.86,TRAILING SL HIT (+20.5 Spot Pts),232005.75
255,2026-05-05 12:15,2026-05-05 13:15,CE,24000,24068.8,24045.95,188.36,174.92,65,-873.6,-7.14,STOP LOSS HIT (-22.9 Spot Pts),231132.15
256,2026-05-06 09:15,2026-05-06 10:15,CE,24000,24137.3,24120.4,232.02,220.79,65,-729.95,-4.84,STOP LOSS HIT (-16.9 Spot Pts),230402.2
257,2026-05-06 10:15,2026-05-06 11:15,PE,24200,24089.3,24104.7,203.03,193.61,65,-612.3,-4.64,STOP LOSS HIT (-15.4 Spot Pts),229789.9
258,2026-05-06 12:15,2026-05-06 13:15,PE,24100,24040.65,24071.3,172.07,155.33,65,-1088.1,-9.73,STOP LOSS HIT (-30.7 Spot Pts),228701.8
259,2026-05-06 13:15,2026-05-06 14:15,CE,24000,24133.35,24320.55,229.37,370.9,65,9199.45,61.7,TRAILING SL HIT (+187.2 Spot Pts),237901.25
260,2026-05-06 14:15,2026-05-07 09:15,CE,24200,24321.35,24383.9,222.59,265.58,65,2794.35,19.31,TRAILING SL HIT (+62.6 Spot Pts),240695.6
261,2026-05-07 12:15,2026-05-07 13:15,CE,24300,24389.7,24364.5,202.96,187.63,65,-996.45,-7.55,STOP LOSS HIT (-25.2 Spot Pts),239699.15
262,2026-05-07 14:15,2026-05-07 15:15,PE,24400,24303.1,24334.4,195.7,177.34,65,-1193.4,-9.38,STOP LOSS HIT (-31.3 Spot Pts),238505.75
263,2026-05-08 09:15,2026-05-08 10:15,PE,24300,24211.3,24216.25,190.22,187.29,65,-190.45,-1.54,STOP LOSS HIT (-4.9 Spot Pts),238315.3
264,2026-05-08 12:15,2026-05-08 13:15,PE,24300,24167.0,24162.7,217.66,220.43,65,180.05,1.27,TRAILING SL HIT (+4.3 Spot Pts),238495.35
